   0.0000000e+00   2.0000000e+00   5.0000000e+00   1.0000000e+00
   6.2831853e-02   2.3139526e+00   4.9901336e+00   1.1940155e+00
   1.2566371e-01   2.6266662e+00   4.9605735e+00   1.3972193e+00
   1.8849556e-01   2.9369066e+00   4.9114363e+00   1.6062720e+00
   2.5132741e-01   3.2434494e+00   4.8429158e+00   1.8170930e+00
   3.1415927e-01   3.5450850e+00   4.7552826e+00   2.0249195e+00
   3.7699112e-01   3.8406228e+00   4.6488824e+00   2.2244363e+00
   4.3982297e-01   4.1288965e+00   4.5241353e+00   2.4099745e+00
   5.0265482e-01   4.4087684e+00   4.3815334e+00   2.5757758e+00
   5.6548668e-01   4.6791340e+00   4.2216396e+00   2.7163058e+00
   6.2831853e-01   4.9389263e+00   4.0450850e+00   2.8265916e+00
   6.9115038e-01   5.1871199e+00   3.8525662e+00   2.9025521e+00
   7.5398224e-01   5.4227355e+00   3.6448431e+00   2.9412862e+00
   8.1681409e-01   5.6448431e+00   3.4227355e+00   2.9412862e+00
   8.7964594e-01   5.8525662e+00   3.1871199e+00   2.9025521e+00
   9.4247780e-01   6.0450850e+00   2.9389263e+00   2.8265916e+00
   1.0053096e+00   6.2216396e+00   2.6791340e+00   2.7163058e+00
   1.0681415e+00   6.3815334e+00   2.4087684e+00   2.5757758e+00
   1.1309734e+00   6.5241353e+00   2.1288965e+00   2.4099745e+00
   1.1938052e+00   6.6488824e+00   1.8406228e+00   2.2244363e+00
   1.2566371e+00   6.7552826e+00   1.5450850e+00   2.0249195e+00
   1.3194689e+00   6.8429158e+00   1.2434494e+00   1.8170930e+00
   1.3823008e+00   6.9114363e+00   9.3690657e-01   1.6062720e+00
   1.4451326e+00   6.9605735e+00   6.2666617e-01   1.3972193e+00
   1.5079645e+00   6.9901336e+00   3.1395260e-01   1.1940155e+00
   1.5707963e+00   7.0000000e+00  -8.0406132e-16   1.0000000e+00
   1.6336282e+00   6.9901336e+00  -3.1395260e-01   8.1776966e-01
   1.6964600e+00   6.9605735e+00  -6.2666617e-01   6.4922553e-01
   1.7592919e+00   6.9114363e+00  -9.3690657e-01   4.9565199e-01
   1.8221237e+00   6.8429158e+00  -1.2434494e+00   3.5781526e-01
   1.8849556e+00   6.7552826e+00  -1.5450850e+00   2.3606956e-01
   1.9477874e+00   6.6488824e+00  -1.8406228e+00   1.3046174e-01
   2.0106193e+00   6.5241353e+00  -2.1288965e+00   4.0828121e-02
   2.0734512e+00   6.3815334e+00  -2.4087684e+00  -3.3120403e-02
   2.1362830e+00   6.2216396e+00  -2.6791340e+00  -9.1726775e-02
   2.1991149e+00   6.0450850e+00  -2.9389263e+00  -1.3533012e-01
   2.2619467e+00   5.8525662e+00  -3.1871199e+00  -1.6422146e-01
   2.3247786e+00   5.6448431e+00  -3.4227355e+00  -1.7861186e-01
   2.3876104e+00   5.4227355e+00  -3.6448431e+00  -1.7861186e-01
   2.4504423e+00   5.1871199e+00  -3.8525662e+00  -1.6422146e-01
   2.5132741e+00   4.9389263e+00  -4.0450850e+00  -1.3533012e-01
   2.5761060e+00   4.6791340e+00  -4.2216396e+00  -9.1726775e-02
   2.6389378e+00   4.4087684e+00  -4.3815334e+00  -3.3120403e-02
   2.7017697e+00   4.1288965e+00  -4.5241353e+00   4.0828121e-02
   2.7646015e+00   3.8406228e+00  -4.6488824e+00   1.3046174e-01
   2.8274334e+00   3.5450850e+00  -4.7552826e+00   2.3606956e-01
   2.8902652e+00   3.2434494e+00  -4.8429158e+00   3.5781526e-01
   2.9530971e+00   2.9369066e+00  -4.9114363e+00   4.9565199e-01
   3.0159289e+00   2.6266662e+00  -4.9605735e+00   6.4922553e-01
   3.0787608e+00   2.3139526e+00  -4.9901336e+00   8.1776966e-01
   3.1415927e+00   2.0000000e+00  -5.0000000e+00   1.0000000e+00
   3.2044245e+00   1.6860474e+00  -4.9901336e+00   1.1940155e+00
   3.2672564e+00   1.3733338e+00  -4.9605735e+00   1.3972193e+00
   3.3300882e+00   1.0630934e+00  -4.9114363e+00   1.6062720e+00
   3.3929201e+00   7.5655056e-01  -4.8429158e+00   1.8170930e+00
   3.4557519e+00   4.5491503e-01  -4.7552826e+00   2.0249195e+00
